timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725808962139,98,/get_method,200,OK,Thread Group 1-1,text,true,,167,149,5,5,http://162.55.220.72:5007/get_method?name=Rus&age=38,98,0,44
1725808962161,86,/get_method,200,OK,Thread Group 1-2,text,true,,167,149,6,6,http://162.55.220.72:5007/get_method?name=Rus&age=38,86,0,41
1725808962177,88,/get_method,200,OK,Thread Group 1-3,text,true,,167,149,7,7,http://162.55.220.72:5007/get_method?name=Rus&age=38,88,0,42
1725808962194,93,/get_method,200,OK,Thread Group 1-4,text,true,,167,149,8,8,http://162.55.220.72:5007/get_method?name=Rus&age=38,93,0,44
1725808962225,88,/get_method,200,OK,Thread Group 1-5,text,true,,167,149,9,9,http://162.55.220.72:5007/get_method?name=Rus&age=38,88,0,41
1725808962240,104,/get_method,200,OK,Thread Group 1-6,text,true,,167,149,11,11,http://162.55.220.72:5007/get_method?name=Rus&age=38,104,0,43
1725808962238,106,/user_info_2,200,OK,Thread Group 1-1,text,true,,469,775,11,11,http://162.55.220.72:5007/user_info_2,106,0,43
1725808962255,102,/get_method,200,OK,Thread Group 1-7,text,true,,167,149,11,11,http://162.55.220.72:5007/get_method?name=Rus&age=38,102,0,41
1725808962247,110,/user_info_2,200,OK,Thread Group 1-2,text,true,,469,775,11,11,http://162.55.220.72:5007/user_info_2,110,0,45
1725808962271,91,/get_method,200,OK,Thread Group 1-8,text,true,,167,149,11,11,http://162.55.220.72:5007/get_method?name=Rus&age=38,90,0,42
1725808962265,106,/user_info_2,200,OK,Thread Group 1-3,text,true,,469,805,12,12,http://162.55.220.72:5007/user_info_2,106,0,46
1725808962287,92,/user_info_2,200,OK,Thread Group 1-4,text,true,,469,780,12,12,http://162.55.220.72:5007/user_info_2,92,0,43
1725808962302,88,/get_method,200,OK,Thread Group 1-9,text,true,,167,149,13,13,http://162.55.220.72:5007/get_method?name=Rus&age=38,88,0,42
1725808962313,88,/user_info_2,200,OK,Thread Group 1-5,text,true,,469,785,14,14,http://162.55.220.72:5007/user_info_2,88,0,42
1725808962317,97,/get_method,200,OK,Thread Group 1-10,text,true,,167,149,15,15,http://162.55.220.72:5007/get_method?name=Rus&age=38,97,0,44
1725808962333,89,/get_method,200,OK,Thread Group 1-11,text,true,,167,149,15,15,http://162.55.220.72:5007/get_method?name=Rus&age=38,89,0,43
1725808962344,88,/user_info_3,200,OK,Thread Group 1-1,text,true,,369,246,15,15,http://162.55.220.72:5007/user_info_3,87,0,41
1725808962344,99,/user_info_2,200,OK,Thread Group 1-6,text,true,,469,770,16,16,http://162.55.220.72:5007/user_info_2,98,0,46
1725808962357,95,/user_info_2,200,OK,Thread Group 1-7,text,true,,469,765,16,16,http://162.55.220.72:5007/user_info_2,95,0,43
1725808962357,107,/user_info_3,200,OK,Thread Group 1-2,text,true,,369,246,17,17,http://162.55.220.72:5007/user_info_3,107,0,43
1725808962364,102,/get_method,200,OK,Thread Group 1-12,text,true,,167,149,17,17,http://162.55.220.72:5007/get_method?name=Rus&age=38,102,0,40
1725808962362,104,/user_info_2,200,OK,Thread Group 1-8,text,true,,469,790,17,17,http://162.55.220.72:5007/user_info_2,104,0,43
1725808962371,97,/user_info_3,200,OK,Thread Group 1-3,text,true,,369,246,17,17,http://162.55.220.72:5007/user_info_3,97,0,43
1725808962380,91,/get_method,200,OK,Thread Group 1-13,text,true,,167,149,17,17,http://162.55.220.72:5007/get_method?name=Rus&age=38,91,0,40
1725808962379,92,/user_info_3,200,OK,Thread Group 1-4,text,true,,369,246,17,17,http://162.55.220.72:5007/user_info_3,92,0,43
1725808962391,94,/user_info_2,200,OK,Thread Group 1-9,text,true,,469,790,18,18,http://162.55.220.72:5007/user_info_2,94,0,43
1725808962395,92,/get_method,200,OK,Thread Group 1-14,text,true,,167,149,18,18,http://162.55.220.72:5007/get_method?name=Rus&age=38,92,0,42
1725808962402,89,/user_info_3,200,OK,Thread Group 1-5,text,true,,369,246,18,18,http://162.55.220.72:5007/user_info_3,89,0,43
1725808962410,91,/get_method,200,OK,Thread Group 1-15,text,true,,167,149,18,18,http://162.55.220.72:5007/get_method?name=Rus&age=38,90,0,44
1725808962415,105,/user_info_2,200,OK,Thread Group 1-10,text,true,,469,785,19,19,http://162.55.220.72:5007/user_info_2,105,0,42
1725808962422,110,/user_info_2,200,OK,Thread Group 1-11,text,true,,469,800,20,20,http://162.55.220.72:5007/user_info_2,110,0,42
1725808962441,94,/get_method,200,OK,Thread Group 1-16,text,true,,167,149,21,21,http://162.55.220.72:5007/get_method?name=Rus&age=38,94,0,41
1725808962432,103,/object_info_1,200,OK,Thread Group 1-1,text,true,,228,162,21,21,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,103,0,41
1725808962443,94,/user_info_3,200,OK,Thread Group 1-6,text,true,,369,246,21,21,http://162.55.220.72:5007/user_info_3,94,0,44
1725808962453,87,/user_info_3,200,OK,Thread Group 1-7,text,true,,369,246,21,21,http://162.55.220.72:5007/user_info_3,87,0,42
1725808962456,90,/get_method,200,OK,Thread Group 1-17,text,true,,167,149,21,21,http://162.55.220.72:5007/get_method?name=Rus&age=38,90,0,43
1725808962465,97,/object_info_1,200,OK,Thread Group 1-2,text,true,,228,162,21,21,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,97,0,41
1725808962466,96,/user_info_2,200,OK,Thread Group 1-12,text,true,,469,775,21,21,http://162.55.220.72:5007/user_info_2,96,0,42
1725808962466,104,/user_info_3,200,OK,Thread Group 1-8,text,true,,369,246,22,22,http://162.55.220.72:5007/user_info_3,104,0,43
1725808962468,104,/object_info_1,200,OK,Thread Group 1-3,text,true,,228,162,22,22,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,104,0,43
1725808962472,105,/get_method,200,OK,Thread Group 1-18,text,true,,167,149,22,22,http://162.55.220.72:5007/get_method?name=Rus&age=38,105,0,44
1725808962471,106,/user_info_2,200,OK,Thread Group 1-13,text,true,,469,770,22,22,http://162.55.220.72:5007/user_info_2,106,0,46
1725808962471,109,/object_info_1,200,OK,Thread Group 1-4,text,true,,228,162,23,23,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,109,0,46
1725808962487,103,/user_info_2,200,OK,Thread Group 1-14,text,true,,469,785,23,23,http://162.55.220.72:5007/user_info_2,103,0,44
1725808962491,102,/object_info_1,200,OK,Thread Group 1-5,text,true,,228,162,23,23,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,101,0,41
1725808962485,113,/user_info_3,200,OK,Thread Group 1-9,text,true,,369,246,24,24,http://162.55.220.72:5007/user_info_3,113,0,47
1725808962501,98,/user_info_2,200,OK,Thread Group 1-15,text,true,,469,795,24,24,http://162.55.220.72:5007/user_info_2,97,0,43
1725808962502,97,/get_method,200,OK,Thread Group 1-19,text,true,,167,149,24,24,http://162.55.220.72:5007/get_method?name=Rus&age=38,96,0,42
1725808962521,86,/user_info_3,200,OK,Thread Group 1-10,text,true,,369,246,24,24,http://162.55.220.72:5007/user_info_3,86,0,41
1725808962526,85,/get_method,200,OK,Thread Group 1-20,text,true,,167,149,25,25,http://162.55.220.72:5007/get_method?name=Rus&age=38,85,0,42
1725808962532,90,/user_info_3,200,OK,Thread Group 1-11,text,true,,369,246,25,25,http://162.55.220.72:5007/user_info_3,90,0,43
1725808962535,91,/user_info_2,200,OK,Thread Group 1-16,text,true,,469,790,25,25,http://162.55.220.72:5007/user_info_2,91,0,41
1725808962533,99,/get_method,200,OK,Thread Group 1-21,text,true,,167,149,25,25,http://162.55.220.72:5007/get_method?name=Rus&age=38,99,0,42
1725808962535,99,/object_info_2,200,OK,Thread Group 1-1,text,true,,488,164,25,25,http://162.55.220.72:5007/object_info_2?name=Rus&age=38&salary=4564,99,0,41
1725808962537,101,/object_info_1,200,OK,Thread Group 1-6,text,true,,228,162,25,25,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,101,0,44
1725808962540,99,/object_info_1,200,OK,Thread Group 1-7,text,true,,228,162,25,25,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,99,0,45
1725808962546,93,/user_info_2,200,OK,Thread Group 1-17,text,true,,469,805,25,25,http://162.55.220.72:5007/user_info_2,93,0,42
1725808962562,86,/object_info_2,200,OK,Thread Group 1-2,text,true,,488,164,26,26,http://162.55.220.72:5007/object_info_2?name=Rus&age=38&salary=4564,85,0,42
1725808962562,95,/user_info_3,200,OK,Thread Group 1-12,text,true,,369,246,27,27,http://162.55.220.72:5007/user_info_3,95,0,44
1725808962563,98,/get_method,200,OK,Thread Group 1-22,text,true,,167,149,27,27,http://162.55.220.72:5007/get_method?name=Rus&age=38,98,0,43
1725808962570,91,/object_info_1,200,OK,Thread Group 1-8,text,true,,228,162,27,27,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,91,0,42
1725808962572,97,/object_info_2,200,OK,Thread Group 1-3,text,true,,488,164,27,27,http://162.55.220.72:5007/object_info_2?name=Rus&age=38&salary=4564,97,0,43
1725808962577,95,/user_info_2,200,OK,Thread Group 1-18,text,true,,469,780,28,28,http://162.55.220.72:5007/user_info_2,95,0,42
1725808962577,101,/user_info_3,200,OK,Thread Group 1-13,text,true,,369,246,28,28,http://162.55.220.72:5007/user_info_3,101,0,44
1725808962580,99,/object_info_2,200,OK,Thread Group 1-4,text,true,,488,164,28,28,http://162.55.220.72:5007/object_info_2?name=Rus&age=38&salary=4564,99,0,42
1725808962578,102,/get_method,200,OK,Thread Group 1-23,text,true,,167,149,28,28,http://162.55.220.72:5007/get_method?name=Rus&age=38,102,0,44
1725808962590,101,/user_info_3,200,OK,Thread Group 1-14,text,true,,369,246,28,28,http://162.55.220.72:5007/user_info_3,101,0,42
1725808962593,103,/object_info_2,200,OK,Thread Group 1-5,text,true,,488,164,28,28,http://162.55.220.72:5007/object_info_2?name=Rus&age=38&salary=4564,103,0,42
1725808962594,107,/get_method,200,OK,Thread Group 1-24,text,true,,167,149,28,28,http://162.55.220.72:5007/get_method?name=Rus&age=38,107,0,41
1725808962599,104,/user_info_3,200,OK,Thread Group 1-15,text,true,,369,246,29,29,http://162.55.220.72:5007/user_info_3,104,0,41
1725808962599,107,/object_info_1,200,OK,Thread Group 1-9,text,true,,228,162,29,29,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,107,0,42
1725808962599,111,/user_info_2,200,OK,Thread Group 1-19,text,true,,469,805,29,29,http://162.55.220.72:5007/user_info_2,111,0,42
1725808962607,104,/object_info_1,200,OK,Thread Group 1-10,text,true,,228,162,29,29,http://162.55.220.72:5007/object_info_1?name=Rus&age=38&weight=85,103,0,45
